HE Provider,Academic Year,Region of HE provider,Category marker,Category,Value
University of Suffolk,2022/23,East of England,Gross internal area,Non-residential (m2),31496.8
University of Suffolk,2022/23,East of England,Gross internal area,Residential (m2),0
The University of Sunderland,2022/23,North East,Gross internal area,Total gross internal area (m2),138192.23
The University of Sunderland,2022/23,North East,Gross internal area,Non-residential (m2),99841.14
The University of Sunderland,2022/23,North East,Gross internal area,Residential (m2),38351.09
The University of Surrey,2022/23,South East,Gross internal area,Total gross internal area (m2),324152.57
The University of Surrey,2022/23,South East,Gross internal area,Non-residential (m2),168905.95
The University of Surrey,2022/23,South East,Gross internal area,Residential (m2),155246.62
The University of Sussex,2022/23,South East,Gross internal area,Total gross internal area (m2),306248.83
The University of Sussex,2022/23,South East,Gross internal area,Non-residential (m2),151742.91
The University of Sussex,2022/23,South East,Gross internal area,Residential (m2),154505.92
Swansea University,2022/23,Wales,Gross internal area,Total gross internal area (m2),261217.48
Swansea University,2022/23,Wales,Gross internal area,Non-residential (m2),222517.33
Swansea University,2022/23,Wales,Gross internal area,Residential (m2),38700.15
Teesside University,2022/23,North East,Gross internal area,Total gross internal area (m2),168648.9
Teesside University,2022/23,North East,Gross internal area,Non-residential (m2),133504.16
Teesside University,2022/23,North East,Gross internal area,Residential (m2),35144.74
Trinity Laban Conservatoire of Music and Dance,2022/23,London,Gross internal area,Total gross internal area (m2),18836.6
Trinity Laban Conservatoire of Music and Dance,2022/23,London,Gross internal area,Non-residential (m2),18836.6
Trinity Laban Conservatoire of Music and Dance,2022/23,London,Gross internal area,Residential (m2),0
University of Wales Trinity Saint David,2022/23,Wales,Gross internal area,Total gross internal area (m2),146762.21
University of Wales Trinity Saint David,2022/23,Wales,Gross internal area,Non-residential (m2),119955.61
University of Wales Trinity Saint David,2022/23,Wales,Gross internal area,Residential (m2),26806.6
Ulster University,2022/23,Northern Ireland,Gross internal area,Total gross internal area (m2),249544.82
Ulster University,2022/23,Northern Ireland,Gross internal area,Non-residential (m2),240258.18
Ulster University,2022/23,Northern Ireland,Gross internal area,Residential (m2),9286.64
University College London,2022/23,London,Gross internal area,Total gross internal area (m2),694356.07
University College London,2022/23,London,Gross internal area,Non-residential (m2),573595.37
University College London,2022/23,London,Gross internal area,Residential (m2),120760.7
University of South Wales,2022/23,Wales,Gross internal area,Total gross internal area (m2),180587.05
University of South Wales,2022/23,Wales,Gross internal area,Non-residential (m2),151903.24
University of South Wales,2022/23,Wales,Gross internal area,Residential (m2),28683.81
The University of Warwick,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),579302.64
The University of Warwick,2022/23,West Midlands,Gross internal area,Non-residential (m2),384605.6
The University of Warwick,2022/23,West Midlands,Gross internal area,Residential (m2),194697.04
"University of the West of England, Bristol",2022/23,South West,Gross internal area,Total gross internal area (m2),308832.62
"University of the West of England, Bristol",2022/23,South West,Gross internal area,Non-residential (m2),228331.53
"University of the West of England, Bristol",2022/23,South West,Gross internal area,Residential (m2),80501.09
The University of the West of Scotland,2022/23,Scotland,Gross internal area,Total gross internal area (m2),128867.17
The University of the West of Scotland,2022/23,Scotland,Gross internal area,Non-residential (m2),106620
The University of the West of Scotland,2022/23,Scotland,Gross internal area,Residential (m2),22247.17
The University of West London,2022/23,London,Gross internal area,Total gross internal area (m2),54658.3
The University of West London,2022/23,London,Gross internal area,Non-residential (m2),54658.3
The University of West London,2022/23,London,Gross internal area,Residential (m2),0
The University of Westminster,2022/23,London,Gross internal area,Total gross internal area (m2),155914.07
The University of Westminster,2022/23,London,Gross internal area,Non-residential (m2),127578.57
The University of Westminster,2022/23,London,Gross internal area,Residential (m2),28335.5
The University of Winchester,2022/23,South East,Gross internal area,Total gross internal area (m2),77799
The University of Winchester,2022/23,South East,Gross internal area,Non-residential (m2),43390
The University of Winchester,2022/23,South East,Gross internal area,Residential (m2),34409
University of Worcester,2022/23,West Midlands,Gross internal area,Total gross internal area (m2),87405.12
University of Worcester,2022/23,West Midlands,Gross internal area,Non-residential (m2),63040.85
University of Worcester,2022/23,West Midlands,Gross internal area,Residential (m2),24364.27
Wrexham University,2022/23,Wales,Gross internal area,Total gross internal area (m2),58593
Wrexham University,2022/23,Wales,Gross internal area,Non-residential (m2),49802
Wrexham University,2022/23,Wales,Gross internal area,Residential (m2),8791
York St John University,2022/23,Yorkshire and The Humber,Gross internal area,Total gross internal area (m2),73347.075
York St John University,2022/23,Yorkshire and The Humber,Gross internal area,Non-residential (m2),50058.261
York St John University,2022/23,Yorkshire and The Humber,Gross internal area,Residential (m2),23288.814
The University of York,2022/23,Yorkshire and The Humber,Gross internal area,Total gross internal area (m2),385148.129
The University of York,2022/23,Yorkshire and The Humber,Gross internal area,Non-residential (m2),248397.19
The University of York,2022/23,Yorkshire and The Humber,Gross internal area,Residential (m2),136750.939
The University of Aberdeen,2021/22,Scotland,Gross internal area,Total gross internal area (m2),267984.57
The University of Aberdeen,2021/22,Scotland,Gross internal area,Non-residential (m2),201867.56
The University of Aberdeen,2021/22,Scotland,Gross internal area,Residential (m2),66117.01
Abertay University,2021/22,Scotland,Gross internal area,Total gross internal area (m2),47784
Abertay University,2021/22,Scotland,Gross internal area,Non-residential (m2),38986
Abertay University,2021/22,Scotland,Gross internal area,Residential (m2),8798
Aberystwyth University,2021/22,Wales,Gross internal area,Total gross internal area (m2),260123.43
Aberystwyth University,2021/22,Wales,Gross internal area,Non-residential (m2),168947.23
Aberystwyth University,2021/22,Wales,Gross internal area,Residential (m2),91176.2
Anglia Ruskin University,2021/22,East of England,Gross internal area,Total gross internal area (m2),131283.74
Anglia Ruskin University,2021/22,East of England,Gross internal area,Non-residential (m2),106565.1
Anglia Ruskin University,2021/22,East of England,Gross internal area,Residential (m2),24718.64
Aston University,2021/22,West Midlands,Gross internal area,Total gross internal area (m2),105735
Aston University,2021/22,West Midlands,Gross internal area,Non-residential (m2),105735
Aston University,2021/22,West Midlands,Gross internal area,Residential (m2),0
Bangor University,2021/22,Wales,Gross internal area,Total gross internal area (m2),234102.195
Bangor University,2021/22,Wales,Gross internal area,Non-residential (m2),162691.94
Bangor University,2021/22,Wales,Gross internal area,Residential (m2),71410.255
Bath Spa University,2021/22,South West,Gross internal area,Total gross internal area (m2),86509.618
Bath Spa University,2021/22,South West,Gross internal area,Non-residential (m2),52594.348
Bath Spa University,2021/22,South West,Gross internal area,Residential (m2),33915.27
The University of Bath,2021/22,South West,Gross internal area,Total gross internal area (m2),285466.95
The University of Bath,2021/22,South West,Gross internal area,Non-residential (m2),175043.64
The University of Bath,2021/22,South West,Gross internal area,Residential (m2),110423.31
University of Bedfordshire,2021/22,East of England,Gross internal area,Total gross internal area (m2),96833
University of Bedfordshire,2021/22,East of England,Gross internal area,Non-residential (m2),96833
University of Bedfordshire,2021/22,East of England,Gross internal area,Residential (m2),0
Queen's University Belfast,2021/22,Northern Ireland,Gross internal area,Total gross internal area (m2),397670
Queen's University Belfast,2021/22,Northern Ireland,Gross internal area,Non-residential (m2),310781
Queen's University Belfast,2021/22,Northern Ireland,Gross internal area,Residential (m2),86889
Birkbeck College,2021/22,London,Gross internal area,Total gross internal area (m2),44979
